,linkID,dist,alt_change,slopes,mean_slope
0,51865408,"[67.3412130381952, 68.5728727021415, 56.78965390036155, 62.079580081771994]","[-1, 0, 19, 0]","[-0.014848655965818238, 0.0, 0.322861327837228, 0.0]",0.07700316796785243
0,51865673,[],[],[],
0,51866677,"[20.238675547615582, 11.97239949005601]","[-1, 24]","[-0.04937019685324395, 1.108069157942699]",0.5293494805447274
0,51866678,"[54.66862867469829, 31.421915613716664]","[7, 23]","[0.1273512143045716, 0.6318637788761173]",0.3796074965903445
0,51867040,"[24.157969707249364, 0.5044879452369886, 0.15457806285453768, 0.10425744569199512, 0.04580169740296249, 4.131038232476426, 27.04669228933136, 27.95244356662805]","[0, 0, 0, 0, 0, 0, -1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03695626410425236, 0.035759797060763925]",-0.00014955838043605434
0,51867079,"[25.94024642690559, 10.081261964702398, 11.472216218026785, 27.51178549606924, 55.08027588269874, 35.824667137583276]","[-1, 0, 1, 1, -1, 2]","[-0.03853105532696276, 0.0, 0.08694734852992188, 0.0363320641301955, -0.018153325012018755, 0.05576956419629073]",0.020394099419571095
0,51867087,"[15.398945205798029, 0.4305403840382532, 0.06467030461925935, 0.5053228219975012, 0.9997841890792021, 0.28515921221639545]","[-2, 1, 1, 0, 0, 0]","[-0.12915603838854897, 1.1642422991554569, 1.5062159523741923, 0.0, 0.0, 0.0]",0.42355036885685005
0,51867088,[15.36510684720572],[6],[0.3722857989661477],0.3722857989661477
0,51867089,[23.837840652083607],[9],[0.3610052644105237],0.3610052644105237
0,51867096,[],[],[],
0,51867114,[36.913588678551804],[3],[0.08109265999088994],0.08109265999088994
0,51867577,"[55.70669218805988, 54.353406265486754, 53.12376449833718, 6.430599276628208, 66.34452336110714, 61.30600416568565]","[-1, -2, -3, 17, -3, -1]","[-0.017949236738343262, -0.03677962852066728, -0.05641198512358555, 1.209161416410578, -0.04518772070394825, -0.01631016958547299]",0.1727537792897601
0,51867645,[9.692646505007989],[31],[1.2677602194113367],1.2677602194113367
0,51867664,"[29.804691833654854, 11.007563156178946, 12.465237536601105, 50.10136023841538]","[0, -3, -1, 8]","[0.0, -0.26607762640280685, -0.08005166322278619, 0.15833962948355637]",-0.046947415035509164
0,51867666,"[79.03908268289631, 40.32941827717262]","[0, 8]","[0.0, 0.1958242620852121]",0.09791213104260604
0,51867694,[],[],[],
0,51867695,[],[],[],
0,51867717,[],[],[],
0,51867758,[131.00792514538918],[20],[0.15149285665435452],0.15149285665435452
0,51867774,"[38.15968420905064, 18.060151488245054, 67.73002771685847]","[0, 5, -1]","[0.0, 0.2700877466345843, -0.014763427385487556]",0.08510810641636557
0,51868077,[26.702388941518787],[-2],[-0.07476007369770404],-0.07476007369770404
0,51869456,[90.56492221187486],[0],[0.0],0.0
0,51869460,[],[],[],
0,51872092,"[7.396822124337758, 0.5266156007902985, 0.7346978745983707, 1.681549781518205, 1.1291390294110206, 2.8575285340030843, 25.689722035351405]","[1, -1, 0, -1, -1, 0, -1]","[0.13437845803017132, -1.0860836504452303, 0.0, -0.5365055715082987, -0.7248192077386079, 0.0, -0.03890643026785838]",-0.3217052002756891
0,51872100,[],[],[],
0,51872116,[79.08975248258118],[1],[0.012643189346686994],0.012643189346686994
0,51872117,[79.17668345722377],[1],[0.012629309403816484],0.012629309403816484
0,51872134,[],[],[],
0,51872166,"[0.09907377560595013, 0.05599805023073466]","[0, 0]","[0.0, 0.0]",0.0
0,51872232,[],[],[],
0,51872238,[88.40024606878673],[2],[0.022620512410704487],0.022620512410704487
0,51873075,[27.667923984965988],[-2],[-0.07216036098763212],-0.07216036098763212
0,51873076,"[70.25636978872913, 59.96159671632427]","[0, 0]","[0.0, 0.0]",0.0
0,51881430,[57.8478393745884],[-1],[-0.017285008711091378],-0.017285008711091378
0,51881613,[],[],[],
0,51881672,[42.12017321202675],[0],[0.0],0.0
0,51881764,[],[],[],
0,51881767,"[51.223983208052964, 30.122275089000805, 1.6867496204037014, 1.5294408184444643, 0.49479981257307143, 0.3982086478890404, 3.0315171357081137, 1.3022325327444177, 9.224197046905966, 48.66227871406653]","[0, 0, -1, 0, 1, -1, 0, 0, 0, 1]","[0.0, 0.0, -0.5351501605011244, 0.0, 1.1113175150468602, -1.191835172010227, 0.0, 0.0, 0.0, 0.02054690609121568]",-0.05951209113732755
0,51881768,"[17.879050496317507, 13.701771853301912, 33.92173874376318, 52.31029615727848]","[-1, 0, 2, 2]","[-0.0558731673117477, 0.0, 0.058891066145397936, 0.038214777444845284]",0.01030816906962388
0,51881825,[],[],[],
0,51881935,[45.52432443316185],[0],[0.0],0.0
0,51881938,[],[],[],
0,51882046,[24.920145754677208],[10],[0.3816108558176866],0.3816108558176866
0,51882111,[53.41289177473137],[0],[0.0],0.0
0,51882112,[25.8740749517283],[8],[0.29986633253088],0.29986633253088
0,51883082,[],[],[],
0,51883083,"[94.74122335653081, 94.40142887700273]","[-1, 1]","[-0.010554675468316472, 0.01059266379870486]",1.899416519419387e-05
0,51883141,[],[],[],
0,51883233,[],[],[],
0,51883237,[],[],[],
0,51883238,"[41.11392031234216, 35.3587061831714]","[0, 0]","[0.0, 0.0]",0.0
0,51883362,[33.065136107097935],[-1],[-0.030234119633699107],-0.030234119633699107
0,51883371,[],[],[],
0,51883509,[77.81242072513497],[2],[0.02569717960138368],0.02569717960138368
0,51883564,[],[],[],
0,51883586,"[95.78102209944389, 72.96223724120588]","[-1, 3]","[-0.010440102286503833, 0.04109401253792376]",0.015326955125709963
0,51883887,"[7.482555312580817, 0.8394241211898329, 0.48256017168260285, 0.27544344468370097, 0.11960413536738736]","[-1, 0, 1, 0, 0]","[-0.13285694094409276, 0.0, 1.1211976670341663, 0.0, 0.0]",0.19766814521801473
0,51883890,[],[],[],
0,51885293,[],[],[],
0,51885324,"[32.91007192566585, 31.34254582034625, 15.135809466979381, 1.0294003579032354, 7.541009677134711]","[-1, 0, 3, 1, 0]","[-0.030376487973907042, 0.0, 0.19566944169391762, 0.7709119624835801, 0.0]",0.1872409832407181
0,51885471,[],[],[],
0,51885473,[],[],[],
0,51885474,"[52.48146631145731, 0.6453758525261653, 0.3698585603109723, 0.06023611107096309, 0.06736767621041562, 0.20210304277956612, 0.24706912732593408, 0.2114587239879157, 0.10110168639760198, 10.23881549248667]","[-1, 1, 0, 1, 0, -1, 0, 0, 0, 0]","[-0.019052040156933497, 0.997678696673319, 0.0, 1.510632910878804, 0.0, -1.3713794306719098, 0.0, 0.0, 0.0, 0.0]",0.11178801367232793
0,51885478,[],[],[],
0,51885482,[],[],[],
0,51885497,[58.791134505319576],[0],[0.0],0.0
0,51885534,[],[],[],
0,51888868,[79.17850949395864],[1],[0.012629018174150616],0.012629018174150616
0,51888871,[57.44202634378092],[0],[0.0],0.0
0,51888872,[],[],[],
0,51888873,"[25.576821729497734, 1.1530579727158665, 0.2923265197143433, 1.076050883498235]","[-1, -2, -2, 0]","[-0.03907799525822216, -1.047813732372395, -1.4256607878106542, 0.0]",-0.6281381288603178
0,51888876,[],[],[],
0,51888926,"[36.881778801972445, 3.136756184206196, 0.9433004229299988, 0.08320502528407674, 0.0541021283330687, 0.03769943727930904, 0.0682963170051637, 0.0434123565552124, 0.04089270086162595]","[-2, -2, -1, 0, 0, -1, 0, 1, 0]","[-0.05417425935142761, -0.5676096896393629, -0.8145668370987043, 0.0, 0.0, -1.5331147343787657, 0.0, 1.5274112115579919, 0.0]",-0.1602282565455854
0,51933267,[],[],[],
0,62007637,"[22.6960459800811, 18.519030130348156, 16.803867538111902, 7.230233215474632, 28.910332686843965]","[0, 1, -1, -1, 2]","[0.0, 0.0539461161606581, -0.059440007807773164, -0.13743620581614371, 0.06906937474567416]",-0.014772144543516922
0,62007648,"[22.928412837416527, 21.19010223498138, 48.60651791636087, 40.62684675280925, 36.89285853488543]","[3, -1, 1, 3, -1]","[0.13010294747889997, -0.04715685760253585, 0.020570470603437883, 0.07370901881458113, -0.027098881588215034]",0.030025339541233625
0,67942291,[9.247873241700308],[3],[0.3136881377685806],0.3136881377685806
0,67942292,[],[],[],
0,67948474,[53.05548829080772],[0],[0.0],0.0
0,67948481,"[54.085571028881866, 22.29149236406061]","[-1, 1]","[-0.01848711317883633, 0.04483010742669597]",0.01317149712392982
0,67948482,"[0.16307531998643052, 0.06266821543204441, 0.10245576243870622, 0.06256543382564626, 0.08739683893306376, 18.689365022757734]","[0, 0, 0, -1, 0, 0]","[0.0, 0.0, 0.0, -1.5083123378452303, 0.0, 0.0]",-0.2513853896408717
0,67948522,[],[],[],
0,67948524,[],[],[],
0,67948530,[],[],[],
0,67948598,[],[],[],
0,67948599,[],[],[],
0,67948714,[],[],[],
0,67948819,"[45.59999427402408, 48.71993124823695, 4.655224488477053, 62.62119554930741]","[0, 0, 6, -1]","[0.0, 0.0, 0.9109424827259144, -0.01596767677275518]",0.22374370148828981
0,67948946,[],[],[],
0,67948960,[58.246071916701915],[1],[0.01716685317224477],0.01716685317224477
0,78670329,"[2.087220132307553, 2.8885685264501637, 0.2568275750986791]","[0, -2, -2]","[0.0, -0.6055965662108659, -1.443081488821866]",-0.6828926850109106
0,83733403,[],[],[],
0,554728186,[],[],[],
0,554728228,"[55.82341781956306, 63.890921238022784]","[0, 2]","[0.0, 0.03129313333577096]",0.01564656666788548
0,554728246,"[76.19146587395088, 73.00077648370049, 67.02919732974236, 41.64863307304863, 71.85729437987774, 75.40195235876011, 74.53543728316062]","[1, -2, -3, 7, 1, 0, 1]","[0.013124075958914792, -0.027390117278369944, -0.044726766378754314, 0.16651643890011728, 0.013915573360627355, 0.0, 0.01341563211630036]",0.019264976668405074
0,554728248,"[52.076698576620096, 56.70142833091258]","[4, 0]","[0.07665926439019244, 0.0]",0.03832963219509622
0,554728249,"[28.825254171121692, 0.3269788282603831]","[1, 0]","[0.03467789424541629, 0.0]",0.017338947122708146
0,554739608,"[0.18741283767680772, 16.851205357093846, 42.37724340066578, 60.32829740744504, 47.85106832950003, 80.58280974735587, 65.43873578064658, 57.172137597542196, 102.46999592586774, 27.472720768558887, 78.56597736746546]","[0, -1, 0, 1, 0, 4, 0, -1, 0, 0, -3]","[0.0, -0.05927342237982799, 0.0, 0.016574451301977714, 0.0, 0.04959766939668898, 0.0, -0.017489254065624564, 0.0, 0.0, -0.03816592526624297]",-0.004432407364820802
0,554739611,[],[],[],
0,554749724,[],[],[],
0,554749725,[],[],[],
0,567329767,"[33.91922152737595, 30.125273625806766, 6.183202219438708, 0.989204995758397, 0.9578021443095147, 1.6128169917233268, 0.8755596184207204, 0.385564808603476, 0.14918383699209095, 0.23171137778947137, 0.08058534312543544, 0.24655248814280512, 0.15905608084165257, 0.22178221726814829, 0.11826443554266274, 0.10412236710380936, 0.058169763058286555, 0.07503306892315917, 0.10545072671652703, 0.066492603659031, 0.055132543311323425, 0.08058534693945305, 0.03448423748904953, 0.02501102534213886, 0.044652488546434006, 0.025011021009296794, 0.03481434757010732, 0.02976832089448768, 0.04167237384018513, 0.030472296594243546, 0.025011020214976504, 0.03481434761617321, 0.04465248732518919, 0.03293653946577734, 0.03047229607985402, 0.023209564375028722, 0.011604782903081838, 0.011604781912296101, 0.3162126614364803, 4.783631943953101, 18.45457670410512, 24.410719704590164, 25.007447977223645, 25.497604779988748, 29.570426428070853, 35.63665747535048]","[-2, -1, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 1, 5, -2, -1, -1, 1]","[-0.0588954264756084, -0.03318253499025378, 0.0, -0.790824903374087, -0.8069485142002382, 0.0, 0.8516494630348743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5475909286127794, 0.0, 0.0, -1.2645326891215407, -0.20607848912268428, 0.054134158124091, 0.20203357149920304, -0.07980631075805365, -0.03919928015303603, -0.03380468842483651, 0.028053631334985427]",-0.013691545304660985
0,572204412,"[4.836493130912835, 0.6095840643124637]","[-2, -1]","[-0.39210930309457, -1.0233595071620982]",-0.7077344051283341
0,572219841,[],[],[],
0,572245497,"[96.54818328710805, 4.314497089279685, 0.4695837145237666, 0.21115130359909426, 0.1962573159699105, 0.7229108510911593, 2.376171857845134]","[-4, -1, -1, 0, 0, 0, 1]","[-0.04140641092087393, -0.22775518898521555, -1.1317764602181608, 0.0, 0.0, 0.0, 0.39834605159212333]",-0.14322742979030384
0,572245501,[],[],[],
0,572245502,[],[],[],
0,572245505,[],[],[],
0,572248796,[],[],[],
0,572252438,"[41.35207315761924, 38.94008831097312, 45.32520939212095, 17.34158595203438, 70.00756485547238]","[-1, 0, 4, 3, 1]","[-0.024177872100755258, 0.0, 0.08802306633345396, 0.17129915592279554, 0.014283199221104369]",0.04988550987531972
0,572252439,"[58.319144175432555, 24.59679402414912, 76.60646680178561]","[-3, 8, 0]","[-0.05139578179170506, 0.3144540554916992, 0.0]",0.08768609123333138
0,586485420,[],[],[],
0,586504553,[],[],[],
0,586525536,"[16.729984330900713, 0.5315209036134618, 0.49400576694766646, 0.20695081396859266, 14.03394035663425, 48.394070856966444, 10.534310381602044, 0.0842483650809375, 0.0933709115496908, 9.500350771292863, 35.52429708365039, 57.414595157376986]","[1, 2, 1, 0, 1, -1, 6, -1, 0, 1, 0, -1]","[0.05970188571473701, 1.311040176987118, 1.111955592713167, 0.0, 0.07113559326766795, -0.020660748091818008, 0.517741968617749, -1.4867464427820087, 0.0, 0.10487309480164614, 0.0, -0.017415413212311392]",0.13763547566799558
0,586525585,[17.104623705566336],[27],[1.0061047193372394],1.0061047193372394
0,586525704,"[11.2674835905072, 32.05820374292658]","[0, -1]","[0.0, -0.031183152285768935]",-0.015591576142884467
0,586532435,[],[],[],
0,586532797,[96.40353730700855],[-2],[-0.02074315108574915],-0.02074315108574915
0,586532906,[],[],[],
0,586532947,[],[],[],
0,711025100,[],[],[],
0,711546381,[],[],[],
0,711546382,[],[],[],
0,711554052,[],[],[],
0,711554054,[],[],[],
0,711554056,[],[],[],
0,711554057,[109.39425919719551],[0],[0.0],0.0
0,711554064,"[56.858547717896045, 75.27335573370948]","[-4, -3]","[-0.07023430693355795, -0.039833658039953604]",-0.05503398248675578
0,711554065,[68.58528480808486],[2],[0.0291525127315374],0.0291525127315374
0,711554088,[],[],[],
0,711651042,[],[],[],
0,711674428,[],[],[],
0,711674448,[],[],[],
0,711674449,[],[],[],
0,716671988,"[54.86246771496213, 40.521457274840536, 37.2714117083559]","[1, 0, 2]","[0.018225379165608926, 0.0, 0.0536090153340768]",0.023944798166561906
0,719953785,"[68.13865954002458, 61.70856660196658]","[-2, 0]","[-0.02934348802404224, 0.0]",-0.01467174401202112
0,723434426,[],[],[],
0,723434427,[],[],[],
0,724247767,[],[],[],
0,724414855,[71.58819900784363],[-1],[-0.013967874302956429],-0.013967874302956429
0,724991084,[0.5572782818545541],[0],[0.0],0.0
0,724991086,[],[],[],
0,726159762,[],[],[],
0,726159763,[],[],[],
0,726159764,[],[],[],
0,726159767,[],[],[],
0,737855398,[72.9972812528763],[1],[0.013698283475748165],0.013698283475748165
0,762732447,[],[],[],
0,762732448,[],[],[],
0,762732449,"[288.5020461790772, 31.214241742855236]","[-2, 18]","[-0.006932248796854974, 0.5230808073306249]",0.258074279266885
0,762732451,"[58.07898978834876, 20.872946123117813, 78.92204434343618]","[0, 15, 0]","[0.0, 0.6231225620396388, 0.0]",0.2077075206798796
0,762732452,"[63.5165892299554, 36.69033015654924, 82.00040209385968]","[2, 12, -1]","[0.03147743649225889, 0.31609546144670686, -0.012194457657636458]",0.11179281342710977
0,762732454,[],[],[],
0,762732456,[9.310555585290292],[32],[1.2876583421744132],1.2876583421744132
0,762732458,[56.38905804211527],[0],[0.0],0.0
0,762772848,"[56.452085045817, 61.561989530407935]","[1, 0]","[0.017712285064177158, 0.0]",0.008856142532088579
0,762772849,[55.12374155483576],[0],[0.0],0.0
0,762795800,[],[],[],
0,766663327,[],[],[],
0,766663328,[],[],[],
0,773673189,[],[],[],
0,773673190,[],[],[],
0,773673192,[],[],[],
0,778526449,[],[],[],
0,779127178,[],[],[],
0,781554862,"[65.83822385647613, 53.85812443996882]","[1, 0]","[0.015187577257497592, 0.0]",0.007593788628748796
0,781638037,[],[],[],
0,781638039,"[8.997377032108671, 3.277377377481244, 0.2564823531133363, 0.01946410008352233, 2.7363420375103593, 61.170715687834274]","[0, 1, -1, 0, 0, -1]","[0.0, 0.2961492442180655, -1.3197259922905948, 0.0, 0.0, -0.016346235624299356]",-0.17332049728280477
0,781750240,"[44.50852850571774, 70.72428663316094, 60.166034513713946, 47.708551383768494, 7.074564604432543, 73.34828423808426, 69.58042348726396, 66.77038023262345]","[0, 1, -1, 2, 12, 5, 2, 1]","[0.0, 0.014138472292631744, -0.016619143027813213, 0.04189667437341411, 1.0380982743443794, 0.06806262475238943, 0.028735804869088128, 0.014975581079350722]",0.14866103608543008
0,797897590,[],[],[],
0,797897591,[],[],[],
0,799517966,"[3.813141009300478, 0.12876760175057075, 10.532441160295198, 29.180789028531237]","[3, -2, -2, 1]","[0.6666111260006705, -1.5065012681354462, -0.1876552957253253, 0.03425571587740781]",-0.2483224304956733
0,799517967,[35.38673866348673],[19],[0.492748894393811],0.492748894393811
0,802190376,[],[],[],
0,810595986,[],[],[],
0,810595987,[110.84332291196618],[0],[0.0],0.0
0,811152825,"[71.40476774108521, 78.90603952902912]","[0, 1]","[0.0, 0.012672622699182536]",0.006336311349591268
0,811152826,[],[],[],
0,811593144,[],[],[],
0,811768915,[],[],[],
0,811768917,"[0.4246501940055648, 0.5047046006438107, 0.19786284739890878, 0.10407165308745638, 0.07785423673552415, 0.0434067744420637, 0.03360042683126065, 0.03261982684810919, 0.010873271894058933, 1.5731266950882035]","[0, -1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, -1.103392124292288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.1103392124292288
